,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/09/2026,TARGET        033357SAN MARCOS          TX,6.44,"001606759   612-3044357
TARGET        033357 09100033357
SAN MARCOS
TX
Description : SEE INVOICE Price : 0.0644
612-3044357",TARGET        033357SAN MARCOS          TX,"SUITE 200
101 CONCHO STREET","SAN MARCOS
TX",78666,UNITED STATES,320260410120037790,Merchandise & Supplies-Wholesale Stores
02/08/2026,WALMART.COM         WALMART.COM         AR,-4.28,"W59W3TTVPUR 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260390065999451,Merchandise & Supplies-Internet Purchase
02/07/2026,TST* JENI'S SPLENDIDAUSTIN              TX,22.48,"0qRnAKojz00 5128230229
TST* JENI'S SPLENDID ICE 300572959
AUSTIN
TX
Description : RESTAURANTS Price : 0.2248
5128230229",TST* JENI'S SPLENDIDAUSTIN              TX,4616 TRIANGLE AVE STE 200,"AUSTIN
TX",78751,UNITED STATES,320260380029715125,Merchandise & Supplies-Wholesale Stores
02/07/2026,WALMART.COM         WALMART.COM         AR,110.73,"WF3T1CGJ9OE 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260380017536396,Merchandise & Supplies-Internet Purchase
02/06/2026,H-E-B #243 000000000SAN MARCOS          TX,18.39,"000257998   9999999999
H-E-B #243 000000000879200
SAN MARCOS
TX
9999999999",H-E-B #243 000000000SAN MARCOS          TX,641 EAST HOPKINS ST,"SAN MARCOS
TX",78666,UNITED STATES,320260380021700009,Merchandise & Supplies-Groceries
02/06/2026,WALMART.COM         WALMART.COM         AR,41.12,"W8JB45RQ47L 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260370993636299,Merchandise & Supplies-Internet Purchase
02/04/2026,"CURSOR, AI POWERED INEW YORK            NY",21.32,"CH_3SXAZKB4 +18314259504
CURSOR, AI POWERED IDE
NEW YORK
NY
+18314259504","CURSOR, AI POWERED INEW YORK            NY","2261 MARKET ST
STE 86466","SAN FRANCISCO
CA",94114,UNITED STATES,320260350936003759,Merchandise & Supplies-Computer Supplies
02/04/2026,HEROKU* JAN-11040605SAN FRANCISCO       CA,5.00,"CH_3SXAHDLZ +18006676389
HEROKU* JAN-110406058
SAN FRANCISCO
CA
+18006676389",HEROKU* JAN-11040605SAN FRANCISCO       CA,"3RD FLOOR
415 MISSION STREET","SAN FRANCISCO
CA",94105,UNITED STATES,320260350935976967,Other-Miscellaneous
02/04/2026,Interest Charge on Purchases,0.15,"Interest Charge on Purchases
",Interest Charge on Purchases,,,,,160205060000754680,Fees & Adjustments-Fees & Adjustments
02/03/2026,BT*SUPER.COM   * HOTSAN FRANCISCO       CA,113.37,"F84VJ96T   92523515         94133
BT*SUPER.COM   * HOTELS
SAN FRANCISCO
CA
92523515         94133",BT*SUPER.COM   * HOTSAN FRANCISCO       CA,"18 BARTOL ST
UNIT 159","SAN FRANCISCO
CA",94133,UNITED STATES,320260340911808743,Travel-Travel Agencies
02/02/2026,A&A APPLIANCE LEASINROUND ROCK          TX,35.56,"CH_3SWKIEDP +15125376250
A&A APPLIANCE LEASING
ROUND ROCK
TX
+15125376250",A&A APPLIANCE LEASINROUND ROCK          TX,1105 WONDER DR,"ROUND ROCK
TX",78681,UNITED STATES,320260330879214462,Merchandise & Supplies-Electronics Stores
02/02/2026,AplPay TARGET       SAN MARCOS          TX,8.17,"000714213   612-3044357
AplPay TARGET        033357 09100033357
SAN MARCOS
TX
Description : SEE INVOICE Price : 0.0817
612-3044357",AplPay TARGET       SAN MARCOS          TX,"SUITE 200
101 CONCHO STREET","SAN MARCOS
TX",78666,UNITED STATES,320260340925655360,Merchandise & Supplies-Wholesale Stores
02/02/2026,MOBILE PAYMENT - THANK YOU,-200.00,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,320260330874544830,
02/02/2026,PEDERNALES ELECTRIC JOHNSON CITY        TX,112.00,"00097505    888-554-4732
PEDERNALES ELECTRIC COOP R
JOHNSON CITY
TX
Description : UTILITY PROVIDER Price : 0.00
888-554-4732",PEDERNALES ELECTRIC JOHNSON CITY        TX,"201 SOUTH AVE
F","JOHNSON CITY
TX",78636,UNITED STATES,320260340917698852,Other-Utilities
02/02/2026,WALMART.COM 80092562BENTONVILLE         AR,-5.84,"WNYZJX8254Q 8009256278
WALMART.COM 8009256278 09920
BENTONVILLE
AR
Description : REFER TO RECEIPT Price : 0.00
8009256278",WALMART.COM 80092562BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260340912480548,Merchandise & Supplies-Internet Purchase
02/01/2026,MOBILE PAYMENT - THANK YOU,-150.00,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,320260320845055858,
01/30/2026,H-E-B #243 000000000SAN MARCOS          TX,24.79,"000028312   9999999999
H-E-B #243 000000000879200
SAN MARCOS
TX
9999999999",H-E-B #243 000000000SAN MARCOS          TX,641 EAST HOPKINS ST,"SAN MARCOS
TX",78666,UNITED STATES,320260310825662083,Merchandise & Supplies-Groceries
01/30/2026,WALMART.COM 80092562BENTONVILLE         AR,55.73,"W4ZYFMTM8NC 8009256278
WALMART.COM 8009256278 09920
BENTONVILLE
AR
Description : REFER TO RECEIPT Price : 0.00
8009256278",WALMART.COM 80092562BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260310822433569,Merchandise & Supplies-Internet Purchase
01/30/2026,YSI*COUNTRY OAKS    SAN MARCOS          TX,198.42,"327289839   512-637-1689
YSI*COUNTRY OAKS
SAN MARCOS
TX
512-637-1689",YSI*COUNTRY OAKS    SAN MARCOS          TX,"500 NORTH CAPITAL OF TEXAS HWY
BLDG 7","AUSTIN
TX",78746,UNITED STATES,320260310843842686,Business Services-Other Services
01/30/2026,YSI*COUNTRY OAKS    SAN MARCOS          TX,257.38,"327094148   512-637-1689
YSI*COUNTRY OAKS
SAN MARCOS
TX
512-637-1689",YSI*COUNTRY OAKS    SAN MARCOS          TX,"500 NORTH CAPITAL OF TEXAS HWY
BLDG 7","AUSTIN
TX",78746,UNITED STATES,320260300796644533,Business Services-Other Services
01/29/2026,"CURSOR, AI POWERED INEW YORK            NY",21.32,"CH_3SV1RHB4 +18314259504
CURSOR, AI POWERED IDE
NEW YORK
NY
+18314259504","CURSOR, AI POWERED INEW YORK            NY","2261 MARKET ST
STE 86466","SAN FRANCISCO
CA",94114,UNITED STATES,320260290767756816,Merchandise & Supplies-Computer Supplies
01/27/2026,AplPay H-E-B #455 00SAN MARCOS          TX,7.52,"000293151   9999999999
AplPay H-E-B #455 000000000879355
SAN MARCOS
TX
9999999999",AplPay H-E-B #455 00SAN MARCOS          TX,200 WEST HOPKINS ST,"SAN MARCOS
TX",78666,UNITED STATES,320260280742530338,Merchandise & Supplies-Groceries
01/27/2026,TXST TESTING CTR WEBSAN MARCOS          TX,40.00,"0127038392  512-245-2276
TXST TESTING CTR WEB
SAN MARCOS
TX
""Description : COLLEGES, UNIVERSIT Price : 0.00""
512-245-2276",TXST TESTING CTR WEBSAN MARCOS          TX,"JCK 188
601 UNIVERSITY DRIVE","SAN MARCOS
TX",78666,UNITED STATES,320260280752732730,Other-Miscellaneous
01/26/2026,VISIBLE             LONE TREE           CO,25.00,"FZ08S975    8663313527
VISIBLE
LONE TREE
CO
8663313527",VISIBLE             LONE TREE           CO,10000 PARK MDWS DR,"LONE TREE
CO",80124,UNITED STATES,320260260702412802,Communications-Mobile Telecom
01/24/2026,MOBILE PAYMENT - THANK YOU,-400.00,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,320260240643221085,
01/24/2026,WALMART.COM         WALMART.COM         AR,5.73,"W3MBXU2X36V 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260240649057102,Merchandise & Supplies-Internet Purchase
01/23/2026,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,"MQQ6QY0VYQA RECORD STORE
AplPay APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",AplPay APPLE.COM/BILINTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,320260240650014786,Merchandise & Supplies-Internet Purchase
01/23/2026,WALMART.COM 80092562BENTONVILLE         AR,69.00,"W6IISDI90RS 8009256278
WALMART.COM 8009256278 09920
BENTONVILLE
AR
Description : REFER TO RECEIPT Price : 0.00
8009256278",WALMART.COM 80092562BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260240652419405,Merchandise & Supplies-Internet Purchase
01/22/2026,AplPay GRUBHUB*KUMOCNEW YORK            NY,15.64,"M0SWVXHX    8775851085
AplPay GRUBHUB*KUMOCREPE
NEW YORK
NY
8775851085",AplPay GRUBHUB*KUMOCNEW YORK            NY,"SUITE 2100
111 W WASHINGTON","CHICAGO
IL",60602,UNITED STATES,320260230634080975,Restaurant-Restaurant
01/22/2026,AplPay TRADER JOES  AUSTIN              TX,20.02,"000083103696265993700
AplPay TRADER JOES
AUSTIN
TX
6265993700",AplPay TRADER JOES  AUSTIN              TX,211 WALTER SEAHOLM DR STE 100,"AUSTIN
TX",78701,UNITED STATES,320260230626849615,Merchandise & Supplies-Groceries
01/21/2026,AplPay H-E-B #455 00SAN MARCOS          TX,5.70,"000973461   9999999999
AplPay H-E-B #455 000000000879355
SAN MARCOS
TX
9999999999",AplPay H-E-B #455 00SAN MARCOS          TX,200 WEST HOPKINS ST,"SAN MARCOS
TX",78666,UNITED STATES,320260220590602668,Merchandise & Supplies-Groceries
01/21/2026,AplPay TARGET       SAN MARCOS          TX,3.33,"001609452   612-3044357
AplPay TARGET        033357 09100033357
SAN MARCOS
TX
Description : SEE INVOICE Price : 0.0333
612-3044357",AplPay TARGET       SAN MARCOS          TX,"SUITE 200
101 CONCHO STREET","SAN MARCOS
TX",78666,UNITED STATES,320260220608117113,Merchandise & Supplies-Wholesale Stores
01/21/2026,WALMART.COM         WALMART.COM         AR,22.99,"WQ1E0BLI7ZQ 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260210583545589,Merchandise & Supplies-Internet Purchase
01/21/2026,WALMART.COM         WALMART.COM         AR,23.84,"WMBFIZEPVZN 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260210582882477,Merchandise & Supplies-Internet Purchase
01/19/2026,WALMART.COM         WALMART.COM         AR,99.95,"W9YJRDO8DDS 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260190510016451,Merchandise & Supplies-Internet Purchase
01/18/2026,WALMART.COM         WALMART.COM         AR,-3.36,"W13D4F8LWBR 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260180501279594,Merchandise & Supplies-Internet Purchase
01/18/2026,WALMART.COM         WALMART.COM         AR,-2.92,"WNYYR9T9WIQ 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260180501281838,Merchandise & Supplies-Internet Purchase
01/18/2026,WALMART.COM         WALMART.COM         AR,-2.47,"WVI6W6UHWDQ 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260180501275571,Merchandise & Supplies-Internet Purchase
01/18/2026,WALMART.COM         WALMART.COM         AR,-2.43,"W6IIJE91WEV 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260180501281980,Merchandise & Supplies-Internet Purchase
01/18/2026,WALMART.COM         WALMART.COM         AR,-2.06,"WHOE4Q7CKJ4 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260180501283216,Merchandise & Supplies-Internet Purchase
01/17/2026,WALMART.COM 80092562BENTONVILLE         AR,1.05,"W5QEC7GZMPZ 8009256278
WALMART.COM 8009256278 09920
BENTONVILLE
AR
Description : REFER TO RECEIPT Price : 0.00
8009256278",WALMART.COM 80092562BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260180485392552,Merchandise & Supplies-Internet Purchase
01/16/2026,OBSIDIAN            OAKVILLE,5.32,"CH_3SQUFKLF +12262203323
OBSIDIAN
OAKVILLE
+12262203323",OBSIDIAN            OAKVILLE,"115 GEORGE ST
SUITE 350","OAKVILLE
ON",L6J 0A2,CANADA,320260170469127124,Merchandise & Supplies-Internet Purchase
01/15/2026,AplPay Coffee Bean TLos Angeles         CA,8.73,"8753       8753             90045
AplPay Coffee Bean Tea T8 LAX
Los Angeles
CA
8753             90045",AplPay Coffee Bean TLos Angeles         CA,201 WORLD WAY,"LOS ANGELES
CA",90045,UNITED STATES,320260160436515341,Restaurant-Bar & Café
01/15/2026,MIDJOURNEY INC.     SOUTH SAN FRANCISCO CA,10.64,"CH_3SQ2VEJA +16503794800
MIDJOURNEY INC.
SOUTH SAN FRANCISCO
CA
+16503794800",MIDJOURNEY INC.     SOUTH SAN FRANCISCO CA,"611 GTWY BLVD
SUITE 120","SOUTH SAN FRANCISCO
CA",94080,UNITED STATES,320260160445007074,Merchandise & Supplies-Computer Supplies
01/15/2026,MOBILE PAYMENT - THANK YOU,-250.00,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,320260150393121806,
01/14/2026,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,20.00,"CH_3SPN1LC6 +14158799686
OPENAI *CHATGPT SUBSCR
SAN FRANCISCO
CA
+14158799686",OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,1455 3RD ST,"SAN FRANCISCO
CA",94158,UNITED STATES,320260140378779133,Merchandise & Supplies-Computer Supplies
01/11/2026,STRIPE-Z.AI         SINGAPORE           SG,6.00,"CH_3SOLUGRP +8618600608944
STRIPE-Z.AI
SINGAPORE
SG
+8618600608944",STRIPE-Z.AI         SINGAPORE           SG,10 ANSON ROAD 26-03 INTERNATIONAL PLA,SINGAPORE,079903,SINGAPORE,320260110295188252,Merchandise & Supplies-Computer Supplies
01/08/2026,HEROKU* DEC-10990585SAN FRANCISCO       CA,5.00,"CH_3SNO3ZLZ +18006676389
HEROKU* DEC-109905856
SAN FRANCISCO
CA
+18006676389",HEROKU* DEC-10990585SAN FRANCISCO       CA,"3RD FLOOR
415 MISSION STREET","SAN FRANCISCO
CA",94105,UNITED STATES,320260080206979757,Other-Miscellaneous
01/07/2026,Interest Charge on Purchases,0.04,"Interest Charge on Purchases
",Interest Charge on Purchases,,,,,160108050000750014,Fees & Adjustments-Fees & Adjustments
01/07/2026,WALMART.COM 80092562BENTONVILLE         AR,-4.12,"WZGEK9N32MX 8009256278
WALMART.COM 8009256278 09920
BENTONVILLE
AR
Description : REFER TO RECEIPT Price : 0.00
8009256278",WALMART.COM 80092562BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260080210865988,Merchandise & Supplies-Internet Purchase
01/07/2026,WALMART.COM 80092562BENTONVILLE         AR,53.85,"WQQ6FPQE3ET 8009256278
WALMART.COM 8009256278 09920
BENTONVILLE
AR
Description : REFER TO RECEIPT Price : 0.00
8009256278",WALMART.COM 80092562BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320260080212247254,Merchandise & Supplies-Internet Purchase
01/06/2026,RETURN PAYMENT FEE,29.00,"RETURN PAYMENT FEE
",RETURN PAYMENT FEE,,,,,320260063172109408,Fees & Adjustments-Fees & Adjustments
01/06/2026,YOUR CASH REWARD/REFUND IS,-67.42,"YOUR CASH REWARD/REFUND IS
",YOUR CASH REWARD/REFUND IS,,,,,320260070198430840,Fees & Adjustments-Fees & Adjustments
01/04/2026,"CURSOR, AI POWERED INEW YORK            NY",21.32,"CH_3SLUORB4 +18314259504
CURSOR, AI POWERED IDE
NEW YORK
NY
+18314259504","CURSOR, AI POWERED INEW YORK            NY","2261 MARKET ST
STE 86466","SAN FRANCISCO
CA",94114,UNITED STATES,320260040100013623,Merchandise & Supplies-Computer Supplies
01/02/2026,A&A APPLIANCE LEASINROUND ROCK          TX,35.56,"CH_3SL5REDP +15125376250
A&A APPLIANCE LEASING
ROUND ROCK
TX
+15125376250",A&A APPLIANCE LEASINROUND ROCK          TX,1105 WONDER DR,"ROUND ROCK
TX",78681,UNITED STATES,320260020045887386,Merchandise & Supplies-Electronics Stores
01/02/2026,PEDERNALES ELECTRIC JOHNSON CITY        TX,152.00,"00856653    888-554-4732
PEDERNALES ELECTRIC COOP R
JOHNSON CITY
TX
Description : UTILITY PROVIDER Price : 0.00
888-554-4732",PEDERNALES ELECTRIC JOHNSON CITY        TX,"201 SOUTH AVE
F","JOHNSON CITY
TX",78636,UNITED STATES,320260030086572287,Other-Utilities
12/31/2025,AUTOPAY PAYMENT - THANK YOU,-200.00,"AUTOPAY PAYMENT - THANK YOU
",AUTOPAY PAYMENT - THANK YOU,,,,,320253650983086760,
12/31/2025,ESPY*M S DEVSHREE KOKOLKATA             WB,278.77,"53651504183 WOMEN'S CLOTHING
ESPY*M S DEVSHREE KOLKATA
KOLKATA
WB
WOMEN'S CLOTHINGForeign Spend Amount: 25000.00 INDIAN RUPEE Commission Amount:  Currency Exchange Rate: null",ESPY*M S DEVSHREE KOKOLKATA             WB,JAGAMOHAN MULLICK LANE GROUND FLOORKOLKA,"KOLKATA
WB",700007,INDIA,320260010031299023,Merchandise & Supplies-Clothing Stores
12/31/2025,FOREIGN TRANSACTION FEE,1.05,"PayU*BLINK COMMERCE PRIVATE LIMITED
$39.10
FOREIGN TRANSACTION FEE
",FOREIGN TRANSACTION FEE,,,,,820253650002198240,Fees & Adjustments-Fees & Adjustments
12/31/2025,FOREIGN TRANSACTION FEE,7.52,"ESPY*M S DEVSHREE KOLKATA
$278.77
FOREIGN TRANSACTION FEE
",FOREIGN TRANSACTION FEE,,,,,820260010031299023,Fees & Adjustments-Fees & Adjustments
12/31/2025,PayU*BLINK COMMERCE Faridabad           IN,39.10,"26640952621 9971195663
PayU*BLINK COMMERCE PRIVATE LIMITED
Faridabad
IN
Description : 26640952621 Price : 0.00
9971195663Foreign Spend Amount: 3514.00 INDIAN RUPEE Commission Amount:  Currency Exchange Rate: null",PayU*BLINK COMMERCE Faridabad           IN,64H SECTOR 18 VILLAGE SARHAULOPP H,"FARIDABAD
HR",121001,INDIA,320253650002198240,Merchandise & Supplies-Groceries
12/31/2025,RETURNED AUTOPAY (DEORY),200.00,"RETURNED AUTOPAY (DEROGATORY)
ORY)
",RETURNED AUTOPAY (DEORY),,,,,320260140389698367,Fees & Adjustments-Fees & Adjustments
12/30/2025,YSI*COUNTRY OAKS    SAN MARCOS          TX,257.38,"322754223   512-637-1689
YSI*COUNTRY OAKS
SAN MARCOS
TX
512-637-1689",YSI*COUNTRY OAKS    SAN MARCOS          TX,"500 NORTH CAPITAL OF TEXAS HWY
BLDG 7","AUSTIN
TX",78746,UNITED STATES,320253650002811655,Business Services-Other Services
12/29/2025,"CURSOR, AI POWERED INEW YORK            NY",21.32,"CH_3SJLWPB4 +18314259504
CURSOR, AI POWERED IDE
NEW YORK
NY
+18314259504","CURSOR, AI POWERED INEW YORK            NY","2261 MARKET ST
STE 86466","SAN FRANCISCO
CA",94114,UNITED STATES,320253630934925919,Merchandise & Supplies-Computer Supplies
12/29/2025,FOREIGN TRANSACTION FEE,1.40,"Razorpay*Flipkart
$51.97
FOREIGN TRANSACTION FEE
",FOREIGN TRANSACTION FEE,,,,,820253630943634876,Fees & Adjustments-Fees & Adjustments
12/29/2025,Razorpay*Flipkart   Bengaluru           IN,51.97,"pay_RxK9wTw MISC APPAREL STORE
Razorpay*Flipkart
Bengaluru
IN
Description : pay_RxK9wTwQqtKkCW Price : 0.00
MISC APPAREL STOREForeign Spend Amount: 4662.00 INDIAN RUPEE Commission Amount:  Currency Exchange Rate: null",Razorpay*Flipkart   Bengaluru           IN,"SYNO 124 126TO1210 13P 143TO149
1411P 1413TO1415 ALYSSA BEGONIA
CLOVER EMBASSY TECH VILL OUTER RING RD","BANGALORE
KA",560103,INDIA,320253630943634876,Merchandise & Supplies-Clothing Stores
12/27/2025,WALMART.COM         WALMART.COM         AR,-2.92,"WA6SDA2COHI 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253610886988040,Merchandise & Supplies-Internet Purchase
12/27/2025,WALMART.COM         WALMART.COM         AR,-2.24,"WKM7D25UOG9 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253610886982938,Merchandise & Supplies-Internet Purchase
12/26/2025,VISIBLE             LONE TREE           CO,25.00,"0PX2699Q    8663313527
VISIBLE
LONE TREE
CO
8663313527",VISIBLE             LONE TREE           CO,10000 PARK MDWS DR,"LONE TREE
CO",80124,UNITED STATES,320253600867791963,Communications-Mobile Telecom
12/26/2025,WALMART.COM         WALMART.COM         AR,2.16,"WTPNO875MPE 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253600866017410,Merchandise & Supplies-Internet Purchase
